callsign,min_time_date,max_time_date,min_time,max_time,time_diff_seconds,old_altitude,new_altitude,altitude_change_rate,min_speed,max_speed
N91CV,08-28-2025 22:25:19,08-28-2025 22:25:58,2025-08-28,2025-08-28,80758,2964.18,3550.92,0.0072654102289984,254.02,264.75
N989ST,08-29-2025 05:08:59,08-29-2025 05:18:04,2025-08-29,2025-08-29,19084,1082.04,0.0,-0.0566988049848102,243.35,245.08
SCM46,08-29-2025 05:20:51,08-29-2025 05:33:05,2025-08-29,2025-08-29,19985,1203.96,0.0,-0.060243182085348,224.88,248.58
SKW4923,08-29-2025 05:37:48,08-29-2025 05:37:48,2025-08-29,2025-08-29,20268,2522.22,2522.22,0.0,301.02,301.02
SWA1057,08-28-2025 22:23:36,08-28-2025 22:23:36,2025-08-28,2025-08-28,80616,0.0,0.0,0.0,7.5,7.5
SWA1485,08-29-2025 04:55:54,08-29-2025 05:07:49,2025-08-29,2025-08-29,18469,0.0,0.0,0.0,0.0,90.0
SWA152,08-29-2025 04:33:31,08-29-2025 04:53:51,2025-08-29,2025-08-29,17631,0.0,556.26,0.0315501104216997,0.0,163.54
SWA1696,08-29-2025 04:34:07,08-29-2025 05:47:48,2025-08-29,2025-08-29,20868,0.0,0.0,0.0,0.0,10.5
SWA1799,08-29-2025 04:58:29,08-29-2025 05:09:49,2025-08-29,2025-08-29,18589,0.0,182.88,0.0098380762287477,2.99,163.46
SWA1844,08-28-2025 22:33:00,08-28-2025 22:47:57,2025-08-28,2025-08-28,82077,0.0,0.0,0.0,0.0,17.01
SWA2004,08-29-2025 04:35:51,08-29-2025 04:51:13,2025-08-29,2025-08-29,17473,251.46,0.0,-0.0143913465667524,6.49,136.48
SWA2097,08-29-2025 04:49:46,08-29-2025 05:01:50,2025-08-29,2025-08-29,18110,0.0,0.0,0.0,18.0,18.99
SWA2160,08-28-2025 23:01:50,08-28-2025 23:04:55,2025-08-28,2025-08-28,83095,0.0,0.0,0.0,0.0,18.0
SWA2210,08-29-2025 04:52:56,08-29-2025 05:01:42,2025-08-29,2025-08-29,18102,0.0,0.0,0.0,0.0,11.0
