avg_speed,avg_vert_speed,wind_speed
243.7272093023256,5.42325581395349,18.504
235.5323076923077,4.593461538461538,16.668
245.04428571428568,4.155714285714287,14.832
225.36166666666668,10.845,14.76
239.815,3.349,12.96
198.9203389830509,7.818305084745762,11.124
246.39500000000007,-1.2339999999999995,18.504
251.83017857142863,6.591607142857143,16.668
184.648,5.306,14.832
237.294,-1.7719999999999998,14.76
276.0846153846154,9.577692307692306,12.96
195.70864406779663,8.043050847457627,11.124
233.3215,4.359,18.504
251.17784615384613,6.84553846153846,16.668
245.04428571428568,4.155714285714287,14.832
225.36166666666668,10.845,14.76
239.815,3.349,12.96
198.9203389830509,7.818305084745762,11.124
235.5323076923077,4.593461538461538,16.668
245.04428571428568,4.155714285714287,14.832
225.36166666666668,10.845,14.76
231.253829787234,4.02,12.96
198.9203389830509,7.818305084745762,11.124
235.5323076923077,4.593461538461538,16.668
245.04428571428568,4.155714285714287,14.832
225.36166666666668,10.845,14.76
229.39428571428567,2.407142857142857,12.96
198.9203389830509,7.818305084745762,11.124
233.05136363636367,6.721363636363635,16.668
245.04428571428568,4.155714285714287,14.832
227.2120454545455,3.6470454545454554,14.76
198.9203389830509,7.818305084745762,11.124
229.7074603174604,3.74079365079365,16.668
245.04428571428568,4.155714285714287,14.832
225.36166666666668,10.845,14.76
198.9203389830509,7.818305084745762,11.124
233.05136363636367,6.721363636363635,16.668
238.48372093023252,3.0711627906976737,14.832
198.9203389830509,7.818305084745762,11.124
233.05136363636367,6.721363636363635,16.668
240.90794117647053,3.345294117647059,14.832
198.9203389830509,7.818305084745762,11.124
228.87136363636364,4.926363636363637,16.668
198.9203389830509,7.818305084745762,11.124
287.59250000000003,2.8449999999999998,12.96
192.47145454545455,8.18,11.124
287.59250000000003,2.8449999999999998,12.96
192.47145454545455,8.18,11.124
233.61531914893615,4.773191489361703,16.668
198.9203389830509,7.818305084745762,11.124
210.75337662337665,7.935454545454542,11.124
209.33744186046508,7.406627906976742,11.124
202.7408695652174,7.802318840579709,11.124
212.26610526315787,7.263473684210523,11.124
170.74182926829275,5.872317073170732,11.124
172.769268292683,5.964146341463414,11.124
